Open,Close,High,Low,Volume
432.01,434.56,435.09,432.01,781.78811015
434.25,435.82,436.98,434.25,584.01710531
435.81,435.5,436.39,434.8,494.04739235
435.88,435.1,436.07,434.5,527.84033966
434.51,433.5,434.95,432.98,458.55797122
433.52,435.2,435.48,433.2,781.54406409
435.2,435.25,438.27,432.94,1044.54243035
435.26,435.0,435.72,434.0,508.25317737
434.81,434.0,436.0,433.55,575.5354999
434.01,428.27,434.12,427.06,2138.40167899
428.01,428.76,428.76,425.0,1751.84735616
428.78,428.51,429.56,427.0,577.48887342
428.56,424.9,428.96,420.0,2715.74501417
424.97,424.73,425.86,421.29,1059.38548334
424.01,426.02,427.81,423.2,549.09477737
426.08,427.0,428.17,424.35,1007.47496999
427.0,425.87,427.84,425.0,873.86970309
425.25,422.31,425.8,420.92,2069.9483327
422.31,424.41,426.03,422.1,819.23226913
424.28,426.49,426.8,424.0,490.04842131
426.49,426.76,429.36,424.32,634.60766947
426.68,429.19,429.9,425.77,644.08231261
428.74,425.78,428.74,424.99,381.02213579
425.7,426.96,426.96,425.0,212.15655394
426.89,424.0,426.89,424.0,597.32067205
424.0,422.63,424.0,422.54,507.22124498
422.68,423.37,424.0,421.87,280.31325631
423.5,423.98,424.01,423.5,375.55163118
423.98,421.4,424.01,418.0,1682.31939638
421.41,421.69,423.23,419.46,885.86674032
421.76,422.0,423.58,420.43,674.78003301
423.02,425.47,426.29,422.09,528.59108104
425.54,425.85,426.0,424.89,248.73800997
425.61,428.29,428.29,424.9,431.75346355
427.24,428.99,428.99,425.86,391.20897111
428.38,428.81,429.9,427.44,406.87010366
428.82,428.32,429.19,428.23,237.19136096
428.37,427.38,429.3,426.95,358.94573355
427.2,426.06,427.62,425.63,340.4526812
426.11,424.01,426.5,424.01,337.69410437
424.05,424.5,424.53,422.0,406.85474637
424.21,424.01,425.48,424.0,214.35178624
424.02,425.01,425.7,424.01,364.85068404
425.03,424.2,425.47,424.0,119.97942669
424.2,425.24,425.98,424.2,446.74224419
424.8,425.04,426.0,424.43,297.98960975
425.17,426.5,427.0,425.01,626.36349299
426.5,425.08,426.5,424.88,368.38858285
425.06,424.94,426.99,423.55,937.89243741
425.67,426.07,426.18,424.5,165.8336699
425.44,426.35,426.67,425.0,210.04158224
426.31,430.0,431.67,426.31,1612.71198735
429.87,431.9,433.38,429.25,813.37669596
431.81,432.0,433.0,430.64,386.89488714
432.01,432.06,432.1,431.0,974.47046935
431.0,431.19,432.09,430.67,449.06271388
431.09,431.01,431.79,430.77,686.27028267
430.95,430.15,431.74,430.0,557.43620862
430.15,431.2,431.33,430.15,266.87961058
431.26,430.7,431.46,430.5,160.02769689
431.09,429.98,431.09,429.62,1009.71391437
429.97,429.0,430.0,427.57,475.47112498
428.71,427.83,429.29,427.81,82.88521116
428.52,428.44,428.79,427.68,213.68952476
428.27,428.62,428.9,428.0,169.96428023
428.59,425.57,428.7,425.57,338.28220738
425.51,426.04,427.38,424.87,532.87046018
426.04,423.0,426.04,421.2,1151.052639
423.02,423.05,423.06,421.2,1007.6074242999999
423.05,421.99,423.73,421.19,424.70304331
421.94,421.89,422.65,421.79,463.65622496
421.89,423.42,423.75,421.61,465.0469633
423.41,423.0,423.63,420.01,652.33749232
423.0,425.0,426.47,423.0,367.61110202
425.17,422.9,425.21,422.9,228.76162243
422.99,422.42,423.01,421.0,152.94065643
421.89,424.86,424.86,421.89,115.46399544
423.73,424.15,424.4,423.14,68.83230562
423.63,425.27,426.0,423.56,449.61594098
425.28,425.0,425.79,425.0,665.86164014
425.01,422.14,425.02,421.21,933.48869055
422.59,419.95,422.92,416.12,1280.59936393
419.91,418.99,419.99,418.04,387.07391706
418.84,416.68,419.66,416.68,540.16561833
416.68,417.99,420.2,415.32,1030.97220571
418.0,415.5,418.89,415.5,549.518156
415.54,416.97,417.35,411.0,1975.6665836
416.63,416.75,417.0,415.34,337.51382908
416.84,415.03,417.0,415.03,207.15437242
415.13,415.68,416.0,415.01,278.39192564
415.68,416.93,417.0,415.41,347.84201369
416.96,418.62,419.21,416.83,487.78019525
418.69,420.0,421.83,418.52,430.32983365
419.74,418.72,420.0,417.97,416.38820521
418.74,418.2,418.82,417.8,175.89452574
418.08,418.93,420.0,417.99,273.65451378
418.93,420.73,421.0,418.64,414.91346442
420.34,422.62,423.1,420.34,1850.21740784
422.8,421.68,423.85,421.13,869.41450645
421.69,424.0,424.31,421.2,917.6098207999999
424.31,424.56,424.89,423.09,296.50055702
424.56,425.16,425.68,424.56,606.54388225
425.1,425.41,426.0,424.69,545.48991779
425.4,424.49,425.4,422.13,321.36455349
424.44,422.82,424.44,422.39,262.4909395
422.82,424.6,425.0,420.34,412.31827708
424.52,426.8,427.3,423.99,2580.03680219
426.89,426.8,429.0,426.8,1095.84814652
426.81,425.75,426.9,425.0,291.56082889
425.67,426.1,426.9,424.6,404.21261410000005
426.85,427.65,428.42,426.49,239.95296979
427.84,425.55,428.06,425.48,884.39520777
425.38,427.25,427.73,425.3,433.95805216
426.92,428.21,429.0,426.33,971.30066423
428.04,430.72,430.73,428.04,1945.22139803
430.71,431.5,431.5,430.71,920.34244635
431.49,429.88,431.53,428.09,1597.9235359000002
429.88,430.84,431.53,429.38,694.89891263
